Time,Reporter,Type,Content,Screenshot,RTF Note
2011-04-11 12:53:30,,(Rapid Reporter version),"1.11.03.20",,
2011-04-11 12:53:30,,Session Reporter,"",,
2011-04-11 12:53:30,,Hashcode,"f13df53c17",,
2011-04-11 12:53:30,,Session Charter,"asdasd",,
2011-04-11 12:53:31,,Setup,"adsad",,
2011-04-11 12:53:45,,autogenerated,"screenshot saved",1_20110411_125345_f13df53c17.jpg,
2011-04-11 12:54:57,,Note,"///////////",1_20110411_125345_f13df53c17.jpg,
2011-04-11 12:55:06,,Note,"@@@@@@@@@",,
2011-04-11 12:55:09,,autogenerated,"screenshot saved",2_20110411_125509_f13df53c17.jpg,
2011-04-11 12:55:16,,WebUrl: ,"http://www.flickr.com/photos/61188104@N03/5609072667/",,
2011-04-11 12:55:38,,Session End. Duration,"00:02:08",,
