Time,Reporter,Type,Content,Screenshot,RTF Note
"2011-04-05";"11:44:17,,WebUrl:";",""http://www.flickr.com/photos/61188104@N03/5591280201/"",,"
2011-04-05 11:47:51,,(Rapid Reporter version),"1.11.03.20",,
2011-04-05 11:47:51,,Session Reporter,"",,
2011-04-05 11:47:51,,Hashcode,"c7f7ceb671",,
2011-04-05 11:47:51,,Session Charter,"asdsasasad",,
2011-04-05 11:47:53,,Setup,"asdsasadasd",,
2011-04-05 11:47:55,,autogenerated,"screenshot saved",1_20110405_114755_c7f7ceb671.jpg,
2011-04-05 11:48:06,,WebUrl: ,"http://www.flickr.com/photos/61188104@N03/5591285901/",,
2011-04-05 11:48:31,,Session End. Duration,"00:00:39",,
2011-04-08 09:16:45,,(Rapid Reporter version),"1.11.03.20",,
2011-04-08 09:16:45,,Session Reporter,"",,
2011-04-08 09:16:45,,Hashcode,"b9d606e450",,
2011-04-08 09:16:45,,Session Charter,"dfg",,
2011-04-08 09:16:46,,Setup,"dfg",,
2011-04-08 09:16:47,,autogenerated,"screenshot saved",1_20110408_091647_b9d606e450.jpg,
2011-04-08 09:16:47,,autogenerated,"screenshot saved",2_20110408_091647_b9d606e450.jpg,
2011-04-08 09:16:48,,autogenerated,"screenshot saved",3_20110408_091648_b9d606e450.jpg,
2011-04-08 09:16:48,,autogenerated,"screenshot saved",4_20110408_091648_b9d606e450.jpg,
2011-04-08 09:16:48,,autogenerated,"screenshot saved",5_20110408_091648_b9d606e450.jpg,
2011-04-08 09:16:48,,autogenerated,"screenshot saved",6_20110408_091648_b9d606e450.jpg,
2011-04-08 09:16:49,,autogenerated,"screenshot saved",7_20110408_091649_b9d606e450.jpg,
2011-04-08 09:16:50,,autogenerated,"screenshot saved",8_20110408_091649_b9d606e450.jpg,
2011-04-08 09:16:50,,autogenerated,"screenshot saved",9_20110408_091650_b9d606e450.jpg,
2011-04-08 09:16:51,,autogenerated,"screenshot saved",10_20110408_091651_b9d606e450.jpg,
2011-04-08 09:16:52,,Session End. Duration,"00:00:06",,
2011-04-08 09:16:59,,(Rapid Reporter version),"1.11.03.20",,
2011-04-08 09:16:59,,Session Reporter,"",,
2011-04-08 09:16:59,,Hashcode,"3c89e14eea",,
2011-04-08 09:16:59,,Session Charter,"fd",,
2011-04-08 09:16:59,,Setup,"f",,
2011-04-08 09:17:00,,autogenerated,"screenshot saved",1_20110408_091700_3c89e14eea.jpg,
2011-04-08 09:17:00,,autogenerated,"screenshot saved",2_20110408_091700_3c89e14eea.jpg,
2011-04-08 09:17:01,,autogenerated,"screenshot saved",3_20110408_091701_3c89e14eea.jpg,
2011-04-08 09:17:01,,Session End. Duration,"00:00:02",,
