Time,Reporter,Type,Content,Screenshot,RTF Note
2011-04-11 10:27:40,Kristoffer,(Rapid Reporter version),"1.11.03.20",,
2011-04-11 10:27:40,Kristoffer,Hash Code,"665ee57",,
2011-04-11 10:27:40,Kristoffer,Twitter Account,"Pvt10RR2",,
2011-04-11 10:27:40,Kristoffer,Session Reporter,"Kristoffer",,
2011-04-11 10:27:40,Kristoffer,Session Charter,"Pegasus",,
2011-04-11 10:27:40,Kristoffer,Twitter Link,"https://twitter.com/#!/search?q=%23665ee57",,
2011-04-11 10:27:45,Kristoffer,Setup,"testing....",,
2011-04-11 10:28:29,Kristoffer,Test,"okokok",,
2011-04-11 10:28:55,Kristoffer,Test,"dfgdf",,
2011-04-11 10:28:58,Kristoffer,Test,"dfgdg",,
2011-04-11 10:30:11,Kristoffer,Session End. Duration,"00:02:31",,
