Time,Reporter,Type,Content,Screenshot,RTF Note
2011-04-18 11:13:25,Nicholas,(Rapid Reporter version),"1.11.03.20",,
2011-04-18 11:13:25,Nicholas,Hash Code,"3875a4a",,
2011-04-18 11:13:25,Nicholas,Twitter Account,"Pvt10RR",,
2011-04-18 11:13:25,Nicholas,Session Reporter,"Nicholas",,
2011-04-18 11:13:25,Nicholas,Session Charter,"Chartinger",,
2011-04-18 11:13:25,Nicholas,Twitter Link,"https://twitter.com/#!/search?q=%233875a4a",,
2011-04-18 11:13:28,Nicholas,Setup,"Setuper",,
2011-04-18 11:13:32,Nicholas,Note,"TheNoter",,
2011-04-18 11:13:35,Nicholas,autogenerated,"screenshot saved",1_20110418_111334_3875a4a.jpg,
2011-04-18 11:13:52,Nicholas,WebUrl: ,"http://www.flickr.com/photos/61770619@N06/5630867394/",,
2011-04-18 11:14:24,Nicholas,Session End. Duration,"00:00:58",,
