Time,Reporter,Type,Content,Screenshot,RTF Note
2011-04-18 11:28:23,Nicholas,(Rapid Reporter version),"1.11.03.20",,
2011-04-18 11:28:23,Nicholas,Hash Code,"af37024",,
2011-04-18 11:28:23,Nicholas,Twitter Account,"Pvt10RR",,
2011-04-18 11:28:23,Nicholas,Session Reporter,"Nicholas",,
2011-04-18 11:28:23,Nicholas,Session Charter,"Charite4rerere",,
2011-04-18 11:28:23,Nicholas,Twitter Link,"https://twitter.com/#!/search?q=%23af37024",,
2011-04-18 11:28:24,Nicholas,Setup,"POIODsaojifdsnofadsohni",,
2011-04-18 11:28:27,Nicholas,Note,"öamkfnkasfnlkf",,
2011-04-18 11:28:35,Nicholas,autogenerated,"screenshot saved",1_20110418_112835_af37024.jpg,
2011-04-18 11:28:41,Nicholas,WebUrl: ,"http://www.flickr.com/photos/61770619@N06/5630309109/",,
2011-04-18 11:28:44,Nicholas,Session End. Duration,"00:00:21",,
2011-04-18 11:31:05,Nichhhhhö,(Rapid Reporter version),"1.11.03.20",,
2011-04-18 11:31:05,Nichhhhhö,Hash Code,"686e4b0",,
2011-04-18 11:31:05,Nichhhhhö,Twitter Account,"Pvt10RR",,
2011-04-18 11:31:05,Nichhhhhö,Session Reporter,"Nichhhhhö",,
2011-04-18 11:31:05,Nichhhhhö,Session Charter,"Chaaaaaa",,
2011-04-18 11:31:05,Nichhhhhö,Twitter Link,"https://twitter.com/#!/search?q=%23686e4b0",,
2011-04-18 11:31:10,Nichhhhhö,Setup,"Setppppppppp",,
2011-04-18 11:31:14,Nichhhhhö,Note,"Noteeeeeeeeee",,
2011-04-18 11:31:30,Nichhhhhö,autogenerated,"screenshot saved",1_20110418_113130_686e4b0.jpg,
2011-04-18 11:31:47,Nichhhhhö,Flickr Link: ,"http://www.flickr.com/photos/61770619@N06/5630314517/",,
2011-04-18 11:32:05,Nichhhhhö,Session End. Duration,"00:01:00",,
