Time,Reporter,Type,Content,Screenshot,RTF Note
2011-04-19 10:05:50,Nickr,(Rapid Reporter version),"1.11.03.20",,
2011-04-19 10:05:50,Nickr,Hash Code,"bf4dfb3",,
2011-04-19 10:05:50,Nickr,Twitter Account,"Pvt10RR2",,
2011-04-19 10:05:50,Nickr,Session Reporter,"Nickr",,
2011-04-19 10:05:50,Nickr,Session Charter,"123456789012345678901234567890123456789012345678901234567890123456789012345678901234567890123456789012abc",,
2011-04-19 10:05:51,Nickr,Twitter Link,"https://twitter.com/#!/search?q=%23bf4dfb3",,
2011-04-19 10:06:25,Nickr,Setup,"12345678901234567890123456789012345678901234567890123456789012345678901234567890123456789012345678901234abc",,
2011-04-19 10:06:33,Nickr,Note,"123456789012345678901234567890123456789012345678901234567890123456789012345678901234567890123456789012345abc",,
2011-04-19 10:06:51,Nickr,Test,"123456789012345678901234567890123456789012345678901234567890123456789012345678901234567890123456789012345abc",,
2011-04-19 10:06:53,Nickr,Session End. Duration,"00:01:03",,
