Time,Reporter,Type,Content,Screenshot,RTF Note
2011-04-18 10:49:09,NickORep,(Rapid Reporter version),"1.11.03.20",,
2011-04-18 10:49:09,NickORep,Hash Code,"8e7765e",,
2011-04-18 10:49:09,NickORep,Twitter Account,"Pvt10RR2",,
2011-04-18 10:49:09,NickORep,Session Reporter,"NickORep",,
2011-04-18 10:49:09,NickORep,Session Charter,"Chartergoeshere",,
2011-04-18 10:49:09,NickORep,Twitter Link,"https://twitter.com/#!/search?q=%238e7765e",,
2011-04-18 10:49:15,NickORep,Setup,"SetupGoeshere",,
2011-04-18 10:49:19,NickORep,Note,"Notegoeshere",,
2011-04-18 10:49:38,NickORep,autogenerated,"screenshot saved",1_20110418_104938_8e7765e.jpg,
2011-04-18 10:49:48,NickORep,WebUrl: ,"http://www.flickr.com/photos/61770619@N06/5630827002/",,
