Time,Reporter,Type,Content,Screenshot,RTF Note
2011-04-18 11:28:23,Nicholas,(Rapid Reporter version),"1.11.03.20",,
2011-04-18 11:28:23,Nicholas,Hash Code,"af37024",,
2011-04-18 11:28:23,Nicholas,Twitter Account,"Pvt10RR",,
2011-04-18 11:28:23,Nicholas,Session Reporter,"Nicholas",,
2011-04-18 11:28:23,Nicholas,Session Charter,"Charite4rerere",,
2011-04-18 11:28:23,Nicholas,Twitter Link,"https://twitter.com/#!/search?q=%23af37024",,
2011-04-18 11:28:24,Nicholas,Setup,"POIODsaojifdsnofadsohni",,
2011-04-18 11:28:27,Nicholas,Note,"öamkfnkasfnlkf",,
2011-04-18 11:28:35,Nicholas,autogenerated,"screenshot saved",1_20110418_112835_af37024.jpg,
2011-04-18 11:28:41,Nicholas,WebUrl: ,"http://www.flickr.com/photos/61770619@N06/5630309109/",,
2011-04-18 11:28:44,Nicholas,Session End. Duration,"00:00:21",,
2011-04-18 11:31:05,Nichhhhhö,(Rapid Reporter version),"1.11.03.20",,
2011-04-18 11:31:05,Nichhhhhö,Hash Code,"686e4b0",,
2011-04-18 11:31:05,Nichhhhhö,Twitter Account,"Pvt10RR",,
2011-04-18 11:31:05,Nichhhhhö,Session Reporter,"Nichhhhhö",,
2011-04-18 11:31:05,Nichhhhhö,Session Charter,"Chaaaaaa",,
2011-04-18 11:31:05,Nichhhhhö,Twitter Link,"https://twitter.com/#!/search?q=%23686e4b0",,
2011-04-18 11:31:10,Nichhhhhö,Setup,"Setppppppppp",,
2011-04-18 11:31:14,Nichhhhhö,Note,"Noteeeeeeeeee",,
2011-04-18 11:31:30,Nichhhhhö,autogenerated,"screenshot saved",1_20110418_113130_686e4b0.jpg,
2011-04-18 11:31:47,Nichhhhhö,Flickr Link: ,"http://www.flickr.com/photos/61770619@N06/5630314517/",,
2011-04-18 11:32:05,Nichhhhhö,Session End. Duration,"00:01:00",,
2011-04-18 14:49:42,Nicholastheone,(Rapid Reporter version),"1.11.03.20",,
2011-04-18 14:49:42,Nicholastheone,Hash Code,"f7ee741",,
2011-04-18 14:49:42,Nicholastheone,Twitter Account,"Pvt10RR2",,
2011-04-18 14:49:42,Nicholastheone,Session Reporter,"Nicholastheone",,
2011-04-18 14:49:42,Nicholastheone,Session Charter,"Charterpleasefuckingwork",,
2011-04-18 14:49:43,Nicholastheone,Twitter Link,"https://twitter.com/#!/search?q=%23f7ee741",,
2011-04-18 14:49:47,Nicholastheone,Setup,"Setupalala",,
2011-04-18 14:50:43,Nicholastheone,Session End. Duration,"00:01:00",,
2011-04-18 14:51:48,Nichahahh,(Rapid Reporter version),"1.11.03.20",,
2011-04-18 14:51:48,Nichahahh,Hash Code,"60edf70",,
2011-04-18 14:51:48,Nichahahh,Twitter Account,"Pvt10RR2",,
2011-04-18 14:51:48,Nichahahh,Session Reporter,"Nichahahh",,
2011-04-18 14:51:48,Nichahahh,Session Charter,"Chatatatata",,
2011-04-18 14:51:49,Nichahahh,Twitter Link,"https://twitter.com/#!/search?q=%2360edf70",,
2011-04-18 14:52:18,Nichahahh,Setup,"asdasdasd",,
2011-04-18 14:52:48,Nichahahh,Session End. Duration,"00:01:00",,
2011-04-18 14:53:52,asdasdasd,(Rapid Reporter version),"1.11.03.20",,
2011-04-18 14:53:52,asdasdasd,Hash Code,"e64ab71",,
2011-04-18 14:53:52,asdasdasd,Twitter Account,"Pvt10RR2",,
2011-04-18 14:53:52,asdasdasd,Session Reporter,"asdasdasd",,
2011-04-18 14:53:52,asdasdasd,Session Charter,"sljsldandasn",,
2011-04-18 14:53:54,asdasdasd,Twitter Link,"https://twitter.com/#!/search?q=%23e64ab71",,
2011-04-18 14:54:04,asdasdasd,autogenerated,"screenshot saved",1_20110418_145404_e64ab71.jpg,
2011-04-18 14:54:21,asdasdasd,Flickr Link: ,"http://www.flickr.com/photos/61770619@N06/5631275664/",,
2011-04-18 14:54:49,asdasdasd,Session End. Duration,"00:00:56",,
2011-04-18 14:56:31,aergfsdf,(Rapid Reporter version),"1.11.03.20",,
2011-04-18 14:56:31,aergfsdf,Hash Code,"5f6e3ce",,
2011-04-18 14:56:31,aergfsdf,Session Reporter,"aergfsdf",,
2011-04-18 14:56:31,aergfsdf,Session Charter,"adfgsdfg",,
2011-04-18 14:56:45,aergfsdf,Session End. Duration,"00:00:14",,
2011-04-19 09:44:09,Nicholasträd,(Rapid Reporter version),"1.11.03.20",,
2011-04-19 09:44:09,Nicholasträd,Hash Code,"896ec96",,
2011-04-19 09:44:09,Nicholasträd,Twitter Account,"Pvt10RR2",,
2011-04-19 09:44:09,Nicholasträd,Session Reporter,"Nicholasträd",,
2011-04-19 09:44:09,Nicholasträd,Session Charter,"Charting",,
2011-04-19 09:44:11,Nicholasträd,Twitter Link,"https://twitter.com/#!/search?q=%23896ec96",,
2011-04-19 09:44:13,Nicholasträd,Setup,"akdsonlkdsanlkdsa",,
2011-04-19 09:44:15,Nicholasträd,Setup,"amdsmsdamködsamösda",,
2011-04-19 09:44:19,Nicholasträd,Session End. Duration,"00:00:09",,
2011-04-19 09:46:16,Nicholas,(Rapid Reporter version),"1.11.03.20",,
2011-04-19 09:46:16,Nicholas,Hash Code,"5bc0170",,
2011-04-19 09:46:16,Nicholas,Twitter Account,"Pvt10RR2",,
2011-04-19 09:46:16,Nicholas,Session Reporter,"Nicholas",,
2011-04-19 09:46:16,Nicholas,Session Charter,"123456789012345678901234567890123456789012345678901234567890123456789012345678901234567890123456789012ab",,
2011-04-19 09:46:17,Nicholas,Twitter Link,"https://twitter.com/#!/search?q=%235bc0170",,
2011-04-19 09:48:19,Nicholas,Session End. Duration,"00:02:03",,
2011-04-19 09:49:16,Nichko,(Rapid Reporter version),"1.11.03.20",,
2011-04-19 09:49:16,Nichko,Hash Code,"f3e1fc5",,
2011-04-19 09:49:16,Nichko,Twitter Account,"Pvt10RR2",,
2011-04-19 09:49:16,Nichko,Session Reporter,"Nichko",,
2011-04-19 09:49:16,Nichko,Session Charter,"12345678901234567890123456789012345678901234567890123456789012345678901234567890123456789012345678901234abc",,
2011-04-19 09:49:17,Nichko,Twitter Link,"https://twitter.com/#!/search?q=%23f3e1fc5",,
2011-04-19 09:52:29,Nichko,Setup,"1234567890123456789012345678901234567890123456789012345678901234567890123456789012345678901234567890123abc",,
2011-04-19 09:55:33,Nichko,Session End. Duration,"00:06:16",,
2011-04-19 09:56:27,Nicko,(Rapid Reporter version),"1.11.03.20",,
2011-04-19 09:56:27,Nicko,Hash Code,"77c5f3c",,
2011-04-19 09:56:27,Nicko,Twitter Account,"Pvt10RR2",,
2011-04-19 09:56:27,Nicko,Session Reporter,"Nicko",,
2011-04-19 09:56:27,Nicko,Session Charter,"123456789012345678901234567890123456789012345678901234567890123456789012345678901234567890123456789012345a",,
2011-04-19 09:56:28,Nicko,Twitter Link,"https://twitter.com/#!/search?q=%2377c5f3c",,
2011-04-19 09:56:56,Nicko,Session End. Duration,"00:00:29",,
2011-04-19 09:57:36,Nicka,(Rapid Reporter version),"1.11.03.20",,
2011-04-19 09:57:36,Nicka,Hash Code,"ee8de47",,
2011-04-19 09:57:36,Nicka,Twitter Account,"Pvt10RR2",,
2011-04-19 09:57:36,Nicka,Session Reporter,"Nicka",,
2011-04-19 09:57:36,Nicka,Session Charter,"12345678901234567890123456789012345678901234567890123456789012345678901234567890123456789012345678901234abcd",,
2011-04-19 09:57:37,Nicka,Twitter Link,"https://twitter.com/#!/search?q=%23ee8de47",,
2011-04-19 09:57:39,Nicka,Session End. Duration,"00:00:02",,
2011-04-19 09:58:34,Nicke,(Rapid Reporter version),"1.11.03.20",,
2011-04-19 09:58:34,Nicke,Hash Code,"71b153e",,
2011-04-19 09:58:34,Nicke,Twitter Account,"Pvt10RR2",,
2011-04-19 09:58:34,Nicke,Session Reporter,"Nicke",,
2011-04-19 09:58:34,Nicke,Session Charter,"1234567890123456789012345678901234567890123456789012345678901234567890123456789012345678901234567890123ab",,
2011-04-19 09:58:35,Nicke,Twitter Link,"https://twitter.com/#!/search?q=%2371b153e",,
2011-04-19 09:58:40,Nicke,Session End. Duration,"00:00:05",,
2011-04-19 10:05:50,Nickr,(Rapid Reporter version),"1.11.03.20",,
2011-04-19 10:05:50,Nickr,Hash Code,"bf4dfb3",,
2011-04-19 10:05:50,Nickr,Twitter Account,"Pvt10RR2",,
2011-04-19 10:05:50,Nickr,Session Reporter,"Nickr",,
2011-04-19 10:05:50,Nickr,Session Charter,"123456789012345678901234567890123456789012345678901234567890123456789012345678901234567890123456789012abc",,
2011-04-19 10:05:51,Nickr,Twitter Link,"https://twitter.com/#!/search?q=%23bf4dfb3",,
2011-04-19 10:06:25,Nickr,Setup,"12345678901234567890123456789012345678901234567890123456789012345678901234567890123456789012345678901234abc",,
2011-04-19 10:06:33,Nickr,Note,"123456789012345678901234567890123456789012345678901234567890123456789012345678901234567890123456789012345abc",,
2011-04-19 10:06:51,Nickr,Test,"123456789012345678901234567890123456789012345678901234567890123456789012345678901234567890123456789012345abc",,
2011-04-19 10:06:53,Nickr,Session End. Duration,"00:01:03",,
2011-04-19 10:16:41,Christera,(Rapid Reporter version),"1.11.03.20",,
2011-04-19 10:16:42,Christera,Hash Code,"665b664",,
2011-04-19 10:16:42,Christera,Twitter Account,"Pvt10RR2",,
2011-04-19 10:16:42,Christera,Session Reporter,"Christera",,
2011-04-19 10:16:42,Christera,Session Charter,"Test",,
2011-04-19 10:16:43,Christera,Twitter Link,"https://twitter.com/#!/search?q=%23665b664",,
2011-04-19 10:16:53,Christera,Note,"note",,
2011-04-19 10:17:02,Christera,Session End. Duration,"00:00:20",,
2011-04-19 10:22:24,Nicholas,(Rapid Reporter version),"1.11.03.20",,
2011-04-19 10:22:24,Nicholas,Hash Code,"9e3a191",,
2011-04-19 10:22:24,Nicholas,Twitter Account,"Pvt10RR",,
2011-04-19 10:22:24,Nicholas,Session Reporter,"Nicholas",,
2011-04-19 10:22:24,Nicholas,Session Charter,"Åker till djungeln och testar kokosnötter",,
2011-04-19 10:22:25,Nicholas,Twitter Link,"https://twitter.com/#!/search?q=%239e3a191",,
2011-04-19 10:22:38,Nicholas,Note,"Lättare så här...",,
2011-04-19 10:22:42,Nicholas,Session End. Duration,"00:00:18",,
