Time,Reporter,Type,Content,Screenshot,RTF Note
2011-04-06 12:51:21,4932299,adam,(Rapid Reporter version),"1.11.03.20",,
2011-04-06 12:51:21,4932299,adam,Hash Code,"3c43f3d",,
2011-04-06 12:51:21,4932299,adam,Twitter Account,"Pvt10RR2",,
2011-04-06 12:51:21,4932299,adam,Session Reporter,"adam",,
2011-04-06 12:51:21,4932299,adam,Session Charter,"test1",,
2011-04-06 12:51:21,4932299,adam,Twitter Link,"https://twitter.com/#!/search?q=%233c43f3d",,
2011-04-06 12:51:32,4932299,adam,Note,"Adam Note",,
2011-04-06 12:51:38,4932299,adam,Test,"setup",,
2011-04-06 12:51:48,4932299,adam,Setup,"setup",,
2011-04-06 13:29:13,4932299,adam,Session End. Duration,"00:37:51",,
